"cell_type","condition","n_cells","mean_apoptosis","sd_apoptosis","mean_necroptosis","sd_necroptosis","mean_ferroptosis","sd_ferroptosis","dataset","n_apop_genes","n_necro_genes","n_ferro_genes"
"Astrocyte","Control",339,0.0122227713350117,0.035343891677849,0.0352301048460716,0.0679222630343492,0.0858906051255251,0.0717450982232995,"GSE279666",157,54,60
"Astrocyte","D14",380,0.0068273459960458,0.0401706176591151,0.00600093625137518,0.0665355773511387,0.0825058322710318,0.0732673325140888,"GSE279666",157,54,60
"Astrocyte","D3",248,0.0309981502181502,0.050108353808862,0.0284907194082784,0.0804035508856781,0.06187848907491,0.0793851958768244,"GSE279666",157,54,60
"Astrocyte","Sham",407,0.0147286103388602,0.0359555105574593,0.0311615930663369,0.068496086468486,0.0888092037622346,0.0728705928515839,"GSE279666",157,54,60
"Endothelial","Control",63,0.0693901428024827,0.0455641828203477,0.0528584772736833,0.0721229222724302,0.0445965605930499,0.0669874163138218,"GSE279666",157,54,60
"Endothelial","D14",265,0.0381135104651948,0.042918931073439,0.0339816142380769,0.0735723873844306,0.00585986460520955,0.0591914291760088,"GSE279666",157,54,60
"Endothelial","D3",182,0.0385950599086594,0.0459854912059564,0.0491944700610977,0.0794163760022591,0.0109260827612953,0.0682749623625773,"GSE279666",157,54,60
"Endothelial","Sham",53,0.0714923502291912,0.0445214857759039,0.0514272902387012,0.101545856258005,0.0488361854236391,0.0805720215603094,"GSE279666",157,54,60
"Fibroblast","Control",116,0.0350586301223899,0.0402656637876024,0.071386410071835,0.0820158093786316,0.0770507163534881,0.088833689174573,"GSE279666",157,54,60
"Fibroblast","D14",1960,0.029974479384116,0.0428147575307433,0.0279148575850015,0.0711416253647176,0.0266161104562196,0.0704916750996133,"GSE279666",157,54,60
"Fibroblast","D3",252,0.0291834119283998,0.0456500326153761,0.0386876936049208,0.0719199950580003,0.0496169222683389,0.0727478057094236,"GSE279666",157,54,60
"Fibroblast","Sham",176,0.0375714662222228,0.0447320674160297,0.0529694859661363,0.0833549564837322,0.0636517666604287,0.0747638901428646,"GSE279666",157,54,60
"Microglia","Control",154,0.0180296814686094,0.0416223687667626,0.0696264802954683,0.0792337099399146,0.0256544818924098,0.0661208005750106,"GSE279666",157,54,60
"Microglia","D14",1149,0.0212240712258177,0.0440821152611519,0.048032058518098,0.0838852245160512,0.0268358173882353,0.0729667140022142,"GSE279666",157,54,60
"Microglia","D3",1423,0.033129451960999,0.0465360428197675,0.0519436777712436,0.0859460767216982,0.0563520640149164,0.0839990702455521,"GSE279666",157,54,60
"Microglia","Sham",159,0.0118301404409455,0.0345716359729882,0.0843974859328073,0.0839865893987534,0.00665665399769125,0.0660741544727224,"GSE279666",157,54,60
"Neuron","Control",5313,-0.0144905832408415,0.030083472763958,-0.0173533152036901,0.0533735184355386,-0.0115716836808884,0.047607151905794,"GSE279666",157,54,60
"Neuron","D14",3159,-0.028259446147774,0.0251237461243011,-0.0533302466652897,0.0421311702554197,-0.0390121477095789,0.0436243984015592,"GSE279666",157,54,60
"Neuron","D3",1642,-0.0360513146100946,0.024916456128558,-0.0510549463061229,0.0407208197394046,-0.0529354120122564,0.0445199707384137,"GSE279666",157,54,60
"Neuron","Sham",6166,-0.0150478036643774,0.0292920172553985,-0.0214803201257251,0.054854807111536,-0.00773558675950397,0.0471139626890895,"GSE279666",157,54,60
"OPC","Control",161,-0.0056725149393827,0.0321662062729872,0.0127948687085554,0.0683962538524498,-0.0243744427496063,0.0426270828783745,"GSE279666",157,54,60
"OPC","D14",149,0.000808150938685364,0.0359627924373285,-0.000931821248845931,0.0653506181190714,-0.00645910138958126,0.0718495965722916,"GSE279666",157,54,60
"OPC","D3",105,-0.0130156409010964,0.0343358954570001,-0.0153621519059104,0.0637813960336202,-0.0193791234560488,0.0684466546479642,"GSE279666",157,54,60
"OPC","Sham",201,-0.00451773094456271,0.0341316490434405,0.0177762693686725,0.0665882382998485,-0.017885499337597,0.0478458568579783,"GSE279666",157,54,60
"Oligodendrocyte","Control",273,0.0258551785930178,0.0378158001811525,0.0321441133853343,0.0745616258093458,0.0480468368327672,0.06286568753823,"GSE279666",157,54,60
"Oligodendrocyte","D14",172,0.0145719202301397,0.0342750700070368,0.00503363054876679,0.0650609086914219,0.00863596533517902,0.06061748117188,"GSE279666",157,54,60
"Oligodendrocyte","D3",155,0.00774322133487565,0.0370695705074488,0.0185369483349956,0.0759510707050695,0.0354319583195453,0.0724908205688989,"GSE279666",157,54,60
"Oligodendrocyte","Sham",313,0.0276281438847137,0.036338156175208,0.043648864363045,0.0724804142149165,0.0446912899621724,0.0577511555625559,"GSE279666",157,54,60
"Pericyte","Control",46,0.0211279264643237,0.0310521544493883,0.0171152592751071,0.0625206052164188,0.0319035953009292,0.0594329270777459,"GSE279666",157,54,60
"Pericyte","D14",116,0.00940239822552828,0.037913884006288,0.00371894640697386,0.0629476972113057,0.00241518639398057,0.0551163002307361,"GSE279666",157,54,60
"Pericyte","D3",105,0.0240265928246574,0.0375863556548699,0.0240515780290627,0.0694683677598637,-0.00904206410162751,0.0569165917015066,"GSE279666",157,54,60
"Pericyte","Sham",51,0.0255393391632348,0.0393683627107371,0.0178333234478289,0.0612319006992907,0.024140928750429,0.0565664643311225,"GSE279666",157,54,60
