"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
-8.04877376946612,7.16085053011229,-4.31446418943224,0.0107853040917995,0.206455109092257,-3.27990995068879,"CSF3"
8.2453700236098,4.1226850118049,3.45984627706991,0.0231820291312869,0.300793501707085,-3.5079570056317,"ACKR1"
7.58677089369692,6.2715948560607,3.15731053816635,0.0312180525475835,0.311897284520976,-3.61166866881753,"SELE"
-7.54997699780352,6.90000164268407,-2.71439228449518,0.0495800426991631,0.370403945210639,-3.78984682930956,"ATP1B3"
5.43508299198914,10.1515719580562,1.77665788646313,0.145585162232551,0.439409382884184,-4.27669128281621,"CD44"
5.5037957979579,9.61964566175613,1.75491033589408,0.149446732780711,0.440593589348033,-4.28949294627469,"YBX1"
5.06877901733574,9.38257674339676,1.72817662452218,0.154340808693099,0.440593589348033,-4.3052908398722,"KIT"
3.86415739523469,5.40081369942363,1.30963902451918,0.256217626627124,0.524127122569356,-4.55693321965153,"HMOX1"
-3.7633757366489,5.56768510924418,-1.29202126247604,0.261722625423273,0.526625907752731,-4.56748108357573,"BAX"
-3.45807788821009,9.47608678065247,-1.15455530439261,0.308655440232425,0.554556972508386,-4.64871945680771,"CCL2"
1.29820331487978,10.055389051899,0.717379170528704,0.510364998173546,0.727568306129323,-4.87985639037856,"PLAUR"
0.971365537213477,6.45506291418454,0.234576038214639,0.825340477128339,0.926908539720683,-5.03608128007745,"IL2RG"
0.379016157062976,12.636435420816,0.215270928998166,0.839432478509185,0.931271228555545,-5.03925594733704,"IL6"
0.272301002251455,14.9051805529864,0.161618025834595,0.878954644888142,0.946755049651819,-5.0466827509758,"GAPDH"
