"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.37568714596615e-27,3.624572227959,0.246,0.027,2.51640692740129e-23,"Igkc"
5.55287964756939e-07,2.36053745893014,0.1,0.028,0.0101573274513339,"Tyrobp"
2.30179284929375e-07,1.78338556443296,0.195,0.092,0.00421043947992813,"C1qb"
8.01004381540925e-09,1.58086118420144,0.212,0.092,0.000146519721471466,"C1qa"
6.08285616070171e-10,1.51457944786823,0.212,0.087,1.11267604891556e-05,"Polr2l"
1.45147563046903e-33,1.1012757848113,0.8,0.593,2.65503922325395e-29,"Rpl35"
2.13276539605812e-07,0.825269805726778,0.411,0.286,0.00390125446246952,"Eno1"
2.02380854832074e-14,0.679388341751247,0.946,0.885,3.7019505965883e-10,"Cst3"
1.64953573734965e-09,0.653784202213535,0.58,0.428,3.01733077075997e-05,"Atp5k"
4.69651675621893e-08,0.6509372325652,0.544,0.416,0.000859086845047567,"Psme1"
2.02732888493954e-24,0.63416082960978,0.948,0.925,3.70838999633141e-20,"Rps29"
1.2226532238822e-06,0.579790585206247,0.392,0.266,0.0223647727712532,"Snrnp27"
3.6371302859362e-08,0.578081655677085,0.659,0.535,0.000665303871903449,"Cox7a2"
6.24475049975305e-09,0.558773038853524,0.708,0.597,0.000114228976141483,"Rpl36a"
1.04592647952474e-17,0.52679806259324,0.937,0.89,1.91320871634665e-13,"Rpl38"
9.22555762513453e-14,0.522776972174529,0.879,0.778,1.68753900078961e-09,"Rpl6"
2.11882533733049e-09,-0.501153512521181,0.824,0.872,3.87575530704493e-05,"Sema3c"
1.01512639159955e-11,-0.509633899095537,0.939,0.97,1.8568691955139e-07,"Camk1d"
1.69772831683758e-06,-0.570307612518185,0.539,0.647,0.0310548463715931,"Cdk17"
1.60709517472669e-06,-0.578526483791065,0.355,0.474,0.0293969849361007,"Traf5"
5.11565304226823e-08,-0.646702085607478,0.534,0.615,0.000935755254491705,"Gm2000"
1.12430922338617e-27,-1.33055453619825,0.443,0.67,2.05658643141799e-23,"Sox18"
2.20400433521947e-10,-1.50673598853884,0.036,0.137,4.03156472998345e-06,"Eno1b"
