"cell_type","timepoint","n_cells","mean_apoptosis","mean_necroptosis","mean_ferroptosis","dataset"
"Astrocyte","D14",1764,0.0209079608962351,0.0388696225562191,0.0959791158005401,"GSE197341"
"Astrocyte","D28",2482,0.0197154818229539,0.0426493183539572,0.106319651883388,"GSE197341"
"Astrocyte","D3",1313,0.0354493885486715,0.0103562100774967,0.0878498679255924,"GSE197341"
"Astrocyte","D7",2504,0.0213217895358173,0.0284280520664113,0.0973175769715475,"GSE197341"
"Astrocyte","Sham",1833,0.0128393769289944,0.0378164499419474,0.0820175118738313,"GSE197341"
"Endothelial","D14",509,0.0674760973979981,0.0905516693953161,0.0748791571774804,"GSE197341"
"Endothelial","D28",619,0.0567184548330468,0.0833881953784117,0.0895518574910286,"GSE197341"
"Endothelial","D3",551,0.0745167472704027,0.0711610712990928,0.0634724527351848,"GSE197341"
"Endothelial","D7",747,0.0706776730699806,0.0826625642666862,0.0718654979730635,"GSE197341"
"Endothelial","Sham",470,0.0579147150456312,0.0899485740531186,0.0795365506925354,"GSE197341"
"Fibroblast","D14",1096,0.0348755361154315,0.0640958943817205,0.0549918146846524,"GSE197341"
"Fibroblast","D28",802,0.0352765780728254,0.0632788432576632,0.0723971141676747,"GSE197341"
"Fibroblast","D3",360,0.0458741867224724,0.0300922145315704,0.0526054352952778,"GSE197341"
"Fibroblast","D7",893,0.0321208657828332,0.049072041287361,0.0511391146851219,"GSE197341"
"Fibroblast","Sham",378,0.0384077844916057,0.0655124996965174,0.0626531775665687,"GSE197341"
"Microglia","D14",1844,0.0165260601681719,0.0797952753159836,0.0434089939169669,"GSE197341"
"Microglia","D28",1714,0.0124360418462036,0.0787979305931738,0.0437071146203981,"GSE197341"
"Microglia","D3",2008,0.0191065966708319,0.051586987741568,0.0412805164130365,"GSE197341"
"Microglia","D7",2571,0.0177746705277629,0.0718486416305866,0.0365742030759539,"GSE197341"
"Microglia","Sham",827,0.00915523951414998,0.0750813374232197,0.0338147005664477,"GSE197341"
"Neuron","D14",12501,-0.0190395314842212,-0.0291173717192965,-0.0237486099385011,"GSE197341"
"Neuron","D28",15135,-0.0178696799237457,-0.0277887039244522,-0.019041235206323,"GSE197341"
"Neuron","D3",8617,-0.0130228690324374,-0.0519709024176491,-0.0279066334074137,"GSE197341"
"Neuron","D7",16776,-0.0133228753957378,-0.0380916870379102,-0.0251510001561105,"GSE197341"
"Neuron","Sham",13068,-0.0183879854944073,-0.0278760792669132,-0.0226905396212805,"GSE197341"
"OPC","D14",601,-0.00718530809803512,0.0136569834555063,-0.00822581165321015,"GSE197341"
"OPC","D28",680,-0.00692988718510922,0.0089953459708346,-0.0123487036613106,"GSE197341"
"OPC","D3",677,-0.00361476603338697,-0.00769978768616557,-0.0177936273037775,"GSE197341"
"OPC","D7",1018,-0.00534864346716698,0.0130603579873991,-0.0137014301383126,"GSE197341"
"OPC","Sham",561,-0.00981227746153888,0.0136753894081783,-0.0164811727797233,"GSE197341"
"Oligodendrocyte","D14",1962,0.0231458109350152,0.0358428278823884,0.050071489758156,"GSE197341"
"Oligodendrocyte","D28",3530,0.0215314321768749,0.0341115697754059,0.0570897549361322,"GSE197341"
"Oligodendrocyte","D3",1319,0.0210738485674673,0.00731848284344525,0.04094342417155,"GSE197341"
"Oligodendrocyte","D7",2145,0.022365801362787,0.026481310936164,0.0460833017346581,"GSE197341"
"Oligodendrocyte","Sham",1931,0.020421120780545,0.0411447903786504,0.0519670352498888,"GSE197341"
"Pericyte","D14",192,0.0213410453688476,0.0405776616342134,0.0235455196445229,"GSE197341"
"Pericyte","D28",328,0.0235141431420798,0.0390557163258041,0.0345914647456344,"GSE197341"
"Pericyte","D3",159,0.0206419796330066,0.0109531705166275,0.0174265897647433,"GSE197341"
"Pericyte","D7",307,0.0201802466391413,0.0319176012376415,0.0248938751827602,"GSE197341"
"Pericyte","Sham",228,0.0181634488960477,0.028767702495016,0.0340410070947336,"GSE197341"
